fa=0.01,thresh=14.54
fa=0.02,thresh=13.63
fa=0.04,thresh=13.08
fa=0.05,thresh=12.66
fa=0.1,thresh=11.12
fa=0.2,thresh=9.97
fa=0.3,thresh=8.71
fa=0.4,thresh=8.03
fa=0.5,thresh=7.38
fa=0.8,thresh=6.13
